epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7334,0.78058,3.65788,4.61431,0.00789,8.44023,0.41513,0.19028,0.12687,0.11794,0.29956,0.19028,0.12732,0.1046,0.4865,1.08505,2.7916,0.00588,0,0.00014611,0.00014611,0.00014611
2,20.7744,0.57755,1.11284,3.23126,0.00507,7.10113,0.36588,0.30262,0.29811,0.27202,0.36588,0.30262,0.29792,0.22473,0.42884,1.21661,2.43469,0.00544,0,0.00029892,0.00029892,0.00029892
3,27.8149,0.6202,0.93426,2.65575,0.00519,6.02371,0.48676,0.5581,0.526,0.42762,0.48676,0.5581,0.526,0.40151,0.81817,0.86973,1.88788,0.01091,0,0.000450716,0.000450716,0.000450716
4,34.6308,0.75496,0.98924,2.44862,0.0069,5.33192,0.24764,0.54529,0.5516,0.50184,0.24764,0.54529,0.5516,0.43234,0.4885,0.69997,1.84305,0.00669,0,0.000601496,0.000601496,0.000601496
5,41.531,0.84855,0.7719,2.22494,0.0087,4.86477,0.59132,0.6437,0.66525,0.54408,0.59132,0.6437,0.66525,0.56431,0.79746,0.62899,1.66409,0.01178,0,0.000751261,0.000751261,0.000751261
6,48.8665,0.87756,0.759,1.91635,0.00803,4.37904,0.62979,0.66482,0.70217,0.59226,0.62979,0.66482,0.70217,0.59639,0.64706,0.52451,3.03996,0.00796,0,0.000756312,0.000756312,0.000756312
7,55.8824,0.84306,0.83148,1.75204,0.00768,3.95421,0.57914,0.78946,0.75533,0.64374,0.57914,0.78946,0.75533,0.63971,0.68283,0.47589,1.96819,0.00877,0,0.000753774,0.000753774,0.000753774
8,62.6977,0.81561,0.91826,1.55943,0.00785,3.62937,0.73308,0.78081,0.81039,0.70583,0.73308,0.78081,0.81039,0.66564,0.62038,0.48823,1.00645,0.00895,0,0.000751236,0.000751236,0.000751236
9,69.6469,0.72319,0.63766,1.41544,0.00735,3.35612,0.86723,0.82023,0.9035,0.82204,0.86723,0.82023,0.90306,0.76045,0.50107,0.43333,0.81835,0.00648,0,0.000748698,0.000748698,0.000748698
10,76.6126,0.71226,0.58106,1.23602,0.00626,2.9936,0.72607,0.87184,0.91121,0.80597,0.72607,0.87184,0.91121,0.79548,0.55971,0.41965,0.7765,0.00711,0,0.000746161,0.000746161,0.000746161
11,83.4285,0.70078,0.53238,1.10182,0.00643,2.70318,0.8109,0.77722,0.90911,0.82639,0.8109,0.77722,0.90911,0.79791,0.52169,0.40267,0.67485,0.00638,0,0.000743623,0.000743623,0.000743623
12,90.2026,0.7261,0.48394,1.06498,0.00662,2.52341,0.90375,0.80315,0.92403,0.81723,0.90375,0.80315,0.92403,0.74025,0.58221,0.40425,0.65853,0.00686,0,0.000741085,0.000741085,0.000741085
13,96.6479,0.72831,0.63455,0.98834,0.00668,2.38072,0.90631,0.8206,0.9274,0.83563,0.90631,0.8206,0.9274,0.77666,0.5243,0.38011,0.5627,0.00669,0,0.000738548,0.000738548,0.000738548
14,103.112,0.70922,0.52585,0.89125,0.00671,2.07161,0.84516,0.87798,0.93184,0.82461,0.84516,0.87798,0.93184,0.78527,0.56187,0.37234,0.45796,0.00833,0,0.00073601,0.00073601,0.00073601
15,109.51,0.71065,0.64935,0.8261,0.00708,1.89179,0.8613,0.8775,0.93273,0.84335,0.8613,0.8775,0.93273,0.80186,0.51705,0.41264,0.45634,0.00819,0,0.000733472,0.000733472,0.000733472
16,116.151,0.7241,0.55821,0.79063,0.00702,1.65537,0.86936,0.87659,0.94543,0.81001,0.86936,0.87659,0.94543,0.78964,0.67351,0.36652,0.52971,0.0094,0,0.000730935,0.000730935,0.000730935
17,122.503,0.82616,0.51143,0.77884,0.00748,1.54337,0.84844,0.90303,0.95347,0.8109,0.84844,0.90303,0.95347,0.77818,0.67509,0.3673,0.4721,0.00853,0,0.000728397,0.000728397,0.000728397
18,128.932,0.70688,0.5048,0.67676,0.00706,1.34865,0.92534,0.8863,0.96164,0.8885,0.92534,0.8863,0.96164,0.82156,0.47952,0.35699,0.36885,0.00647,0,0.000725859,0.000725859,0.000725859
19,135.467,0.65446,0.42777,0.63215,0.00558,1.28729,0.89863,0.8672,0.95539,0.87452,0.89863,0.8672,0.95539,0.80641,0.51596,0.35673,0.40129,0.00671,0,0.000723321,0.000723321,0.000723321
20,141.881,0.65583,0.48305,0.6189,0.00614,1.12986,0.89875,0.92447,0.97126,0.88575,0.89875,0.92447,0.97126,0.85952,0.48908,0.34578,0.34543,0.00614,0,0.000720784,0.000720784,0.000720784
21,148.366,0.71558,0.45472,0.62342,0.00636,1.10527,0.96871,0.91677,0.97539,0.86963,0.96871,0.91677,0.97539,0.82004,0.55366,0.33991,0.32167,0.00694,0,0.000718246,0.000718246,0.000718246
22,154.783,0.68563,0.54492,0.59173,0.00623,1.07884,0.91111,0.95614,0.98027,0.89417,0.91111,0.95614,0.98027,0.84505,0.49445,0.31263,0.30437,0.00671,0,0.000715708,0.000715708,0.000715708
23,161.143,0.63838,0.47242,0.59981,0.00637,1.10538,0.94497,0.86318,0.95893,0.85767,0.94497,0.86318,0.95893,0.8427,0.54559,0.28954,0.3936,0.00826,0,0.000713171,0.000713171,0.000713171
24,167.529,0.61318,0.45455,0.60184,0.0056,0.93936,0.93218,0.90465,0.97116,0.88673,0.93218,0.90465,0.97116,0.83803,0.48151,0.27616,0.37778,0.0081,0,0.000710633,0.000710633,0.000710633
25,173.922,0.5958,0.43973,0.53191,0.00595,0.81683,0.93513,0.93447,0.97212,0.88637,0.93513,0.93447,0.97212,0.83416,0.48969,0.2789,0.29376,0.00862,0,0.000708095,0.000708095,0.000708095
